o,i,M
4.1,6.25,1.42
4.1,5.5,1.168571429
4.15,5.7,1.227142857
5.1,4.25,1.051428571
5.1,4.35,1.037142857
5.15,4.1,0.977142857
6.1,3.8,0.858571429
6.05,3.6,0.865714286
6.1,3.85,0.9
3.1,8.1,1.818571429
3.15,8.5,1.78
3.1,8.8,1.79
2.6,9.8,2.015714286
2.6,10.1,2.142857143
2.55,9.3,1.914285714
2.1,12.8,2.564285714
2.15,12.7,2.55
2.1,13,2.608571429
1.6,15.1,2.95
1.6,15.9,3.154285714
1.55,16.7,3.375714286
1.1,20.2,3.845714286
1.1,19.5,3.735714286
1.15,20,3.738571429
0.7,22.5,4.074285714
0.75,23,4.14
0.7,24.5,4.362857143